	journal-id	aff	year	PMCID	tokenized_METHODS
10808	J. Exp. Med	From the	1995	PMC2199042	
10809	Breast Cancer Res		2000	PMC1410743	
10810	plosntds	Tulane School of Public Health and Tropical Medicine, United States of America	2002	PMC3019113	
10811	plosone	National Cancer Institute, United States of America	1993	PMC2920307	
10812	Acta Cryst. F		2011	PMC3053160	
10813	Diabetes		2008	PMC2699855	
10814	Part Fibre Toxicol		2001	PMC2705341	
10815	BMC Genomics		1990	PMC1550726	
10816	Nucleic Acids Research		1992	PMC1140373	
10817	Prev Chronic Dis	Region 8 Medical Director, Division of Regional and Local Health Services, Texas Department of State Health Services, Harlingen, Texas	2007	PMC2578764	Of the 999 women sampled on selected days from August 21 through November 9, 2005 in hospitals with 100 or more deliveries per year, 947 (95%) completed interviews.
10818	Prev Chronic Dis	Region 8 Medical Director, Division of Regional and Local Health Services, Texas Department of State Health Services, Harlingen, Texas	2007	PMC2578764	The final unweighted sample was 946 women, distributed between Matamoros (n = 489) and Cameron County (n = 457).
10819	BMC Bioinformatics		2007	PMC2636774	
10820	plosone	Institut Pasteur, France	2007	PMC2887373	
10821	jcb		1997	PMC2911659	
10822	BMC Syst Biol		1987	PMC3152903	
10823	Arthritis Res Ther		1997	PMC2206344	Materials and methodsSubjectsSynovial tissues from 26 RA patients, 12 men and 14 women, were obtained through the rheumatology clinic at the Karolinska Hospital, Solna, Sweden.
10824	Retrovirology		1989	PMC2661877	
10825	BMC Genomics		2000	PMC2588610	
10826	plosbiol		2001	PMC314466	
10827	plosone	University of Hyderabad, India	2008	PMC2848570	
10828	jpcbfk	Department of Human Molecular Genetics and Biochemistry, Sackler Institute of Molecular Medicine, Sackler Faculty of Medicine, Tel Aviv University, Tel Aviv 69978, Israel, Institute of Chemistry and the Lise-Meitner-Minerva Center for Computational Quantum Chemistry, The Hebrew University of Jerusalem, 91904 Jerusalem, Israel, School of Computer Science, Raymond and Beverly Sackler Faculty of Exact Sciences, Tel Aviv University, Tel Aviv 69978, Israel, and SAIC-Frederick, Inc., Center for Cancer Research Nanobiology Program, NCI−Frederick, Building 469, Room 151, Frederick, Maryland 21702	2005	PMC2750738	
10829	BMC Cell Biol		1970	PMC553963	
10830	Nat. Genet.		1990	PMC2875196	
10831	JEPH		1979	PMC2913660	
10832	BMC Cell Biol		1997	PMC546208	
10833	EJH	Department of Oral and Maxillofacial Surgery, Wakayama Medical University, Japan	2003	PMC3167321	
10834	Br J Cancer		2008	PMC2967072	
10835	BMC Bioinformatics		1999	PMC1764478	
10836	J Neuroinflammation		1996	PMC1769480	
10837	plospath	University of Wisconsin–Madison, United States of America	2004	PMC1891325	
10838	BMC Med Genet		2001	PMC2914646	Of the initial 150 women, 56 were excluded and 10 new cases added making the study population a total of 104.
10839	BMC Med Genet		2001	PMC2914646	Of these 104 women, 83 provided a blood sample for the genetic analysis.
10840	Clin Proteomics		2010	PMC2970822	
10841	Nature		2011	PMC3146096	
10842	Br J Cancer	Celgene Corporation, Warren, New Jersey, USA	1998	PMC2376196	
10843	Diabetes	From the Department of Diabetes, Endocrinology and Nutrition, Institut d'Investigació Biomédica de Girona, CIBER Fisiopatología de la Obesidad y Nutrición CB06/03/010, Girona. Spain.	2008	PMC3012168	
10844	J. Gen. Physiol	Department of Physiology, University of Texas Health Science Center at San Antonio, San Antonio, TX 78229	1999	PMC2234471	
10845	plosgen	The Babraham Institute, United Kingdom	2005	PMC2987832	
10846	JBB	Department of Chemical Engineering,  Boğaziçi University,  34342 Bebek-İstanbul, Turkey	2002	PMC3010689	
10847	Biomed Eng Online		1987	PMC544831	
10848	Nat. Cell Biol.		2004	PMC2773241	
10849	Br J Cancer		2000	PMC2360543	
10850	J. Exp. Med	 	2005	PMC2118214	
10851	YMJ		2009	PMC3101039	
10852	Nucleic Acids Research		2001	PMC1156961	
10853	plosone	University of Oxford, United Kingdom	2006	PMC2720539	
10854	JCBN		2006	PMC2170946	
10855	Neuropsychopharmacology		1999	PMC2784027	
10856	ploscomp	European Molecular Biology Laboratory, Germany	2003	PMC1829479	
10857	BOE		2010	PMC3047356	
10858	J Nanobiotechnology		1965	PMC2563017	
10859	J Neuroinflammation		1977	PMC1435873	
10860	JBB		1993	PMC3157028	
10861	101238455	National Center for Environmental Economics, U.S. Environmental Protection Agency, 1200 Pennsylvania Ave., NW (MC 1809T), Washington, DC 20460, USA; E-Mail: 	2010	PMC3108136	
10862	plosone	Case Western Reserve University, United States of America	2005	PMC2927422	
10863	Diabetes		2009	PMC2911054	
10864	BMC Public Health		1994	PMC1569841	Overall, the participants completed nearly one-quarter of the short questionnaires and nearly one-third of the long questionnaires on the secure website.A total of 84170 men joined the cohort, and nearly 40% were minority (Table 2).
10865	Br J Cancer		2008	PMC2990590	
10866	BMC Struct Biol		1996	PMC2725086	
10867	Environ. Health Perspect		2005	PMC2367678	Contact was successful for 234 men in Arnsberg and 296 in Brilon.
10868	Environ. Health Perspect		2005	PMC2367678	Based on the evaluation of the questionnaire data, 100 men with the highest self-reported tap water consumption were selected to participate in Arnsberg and Brilon, respectively.For the recruitment of mothers and children, we chose a different approach.
10869	J Neuroengineering Rehabil		2000	PMC1592500	Materials and methodsSubjectsA convenience sample of 3 males and 2 females were included in this study (mean age 43.8 ± 14.5 yrs; body mass index 24.1 ± 2.9).
10870	plosone	Florida International University, United States of America	2008	PMC3138742	
10871	BMC Health Serv Res		2001	PMC1664559	
10872	BMC Biotechnol		2005	PMC2667499	
10873	tjp		2002	PMC2691903	
10874	J. Exp. Med	 	2004	PMC2211783	
10875	plosone	Center for Genomic Regulation, Spain	2003	PMC2559869	
10876	Nucleic Acids Research		1998	PMC1140756	
10877	Proteome Sci		2003	PMC3090313	
10878	Confl Health		2008	PMC2865453	
10879	gcc		2008	PMC2948432	
10880	plosone	University of Cape Town, South Africa	2001	PMC2244704	
10881	Genome Biol	Correspondence: Lalji Singh. E-mail: lalji@ccmb.res.in	1995	PMC151303	
10882	Fibrogenesis Tissue Repair		2010	PMC3148569	
10883	Nutr Metab (Lond)		2000	PMC2886077	
10884	plosgen	University of Cambridge, United Kingdom	1997	PMC2695003	
10885	J Exp Clin Cancer Res		1998	PMC2627824	
10886	diabetes		2007	PMC2606862	
10887	plosmed	Aga Khan University, Pakistan	1996	PMC3125291	
10888	J. Cell Biol	 	1989	PMC2132523	
10889	BMC Cancer		1995	PMC140310	
10890	BMC Biotechnol		1998	PMC1361793	
10891	Patient Prefer Adherence		2006	PMC2778425	The second study evaluated the efficacy, safety and tolerability of on-demand 20 mg versus once-daily 10 mg tadalafil in 145 men with mild to severe ED of various etiologies.28 Once-daily tadalafil was associated with a better efficacy profile compared with on-demand tadalafil.
10892	IJBI		1997	PMC2855984	
10893	TOCMJ	 Queen Mary University of London, Barts & The London School of Medicine and Dentistry, Blizard Institute of Cell and Molecular Science, Turner Street, London E1 2AD, UK	2007	PMC3024556	
10894	BMC Bioinformatics		1979	PMC2553803	
10895	plosone	University of Maryland, United States of America	2004	PMC2785475	Expression analysis from PCOS_Hs dataset shows that the obesity can cause polycystic ovary syndrome, which is independent of insulin resistance in women [38].
10896	Histochem Cell Biol		1988	PMC3019355	
10897	plospath	NIH/NIAID, United States of America	2000	PMC2631133	
10898	EJH		2000	PMC3167276	
10899	plosone	University of Cambridge, United Kingdom	1999	PMC3161073	
10900	Int J Behav Nutr Phys Act		1997	PMC2858095	
10901	Immunome Res		2005	PMC2244602	
10902	MV		2007	PMC3171501	
10903	J. Exp. Med	 	1999	PMC2194003	
10904	Nat Commun		2002	PMC3065713	
10905	Int J Obes (Lond)		1973	PMC2822132	
10906	ejh		2004	PMC1618958	
10907	TOCMJ		1978	PMC2761669	
10908	plosone	University of Minnesota, United States of America	2009	PMC3102654	
10909	Immunome Res		2006	PMC2373292	
10910	J. Gen. Physiol	From the	1977	PMC2217075	
10911	BMC Genet		2005	PMC1866760	
10912	BMC Bioinformatics		2004	PMC520813	
10913	NRP		2008	PMC3029793	
10914	Br J Cancer		2001	PMC2361255	
10915	plosone	University of Hong Kong, Hong Kong	2001	PMC2797139	
10916	DRP		2008	PMC2946611	
10917	J. Cell Biol	 	1993	PMC2173996	
10918	dnares		2006	PMC2762412	
10919	Arthritis Res Ther		2002	PMC1257422	
10920	plosone	Institute of Infectious Disease and Molecular Medicine, South Africa	2004	PMC3048862	
10921	JoVE		2004	PMC3074457	
10922	Virol J		2006	PMC2164959	
10923	Implement Sci		2004	PMC2689170	
10924	MV	State Key Laboratory of Ophthalmology, Zhongshan Ophthalmic Center, Sun Yat-sen University, Guangzhou, China	2009	PMC2802294	
10925	tjp		1999b	PMC2821527	
10926	MV		1998	PMC2901189	
10927	Br J Cancer		1988	PMC2377052	
10928	BMC Cancer		1991	PMC149232	
10929	MV		2007	PMC2632733	
10930	Mol Neurodegener		1978	PMC2823745	
10931	Mol Syst Biol		1997	PMC1681485	
10932	Radiat Oncol		1999	PMC2984457	
10933	J Ovarian Res		2002	PMC2633338	Informed consent was obtained from all the patients in this study.PatientsA total of 66 women who had both luteal phase defect and high blood flow impedance of the corpus luteum [corpus luteum-resistance index (CL-RI) ≥ 0.51] were recruited into this study.
10934	BMC Genomics		2001	PMC1899180	
10935	Apoptosis	Department of Pediatric Nephrology, Wrocław Medical University, M. Skłodowskiej – Curie 50/52, 50-369 Wrocław, Poland 	1994	PMC3098372	
10936	BMC Genomics		2006	PMC2585594	
10937	BMC Cancer		2005	PMC2841144	
10938	Br J Cancer	Academic Division of Gynecological Oncology, University of Turin, Mauriziano Umberto Hospital and Institute for Cancer Research and Treatment (IRCC) of Candiolo, Turin, Italy	1998	PMC2375362	
10939	Diagn Pathol		2006	PMC3073216	
10940	Epidemiol Perspect Innov		2004	PMC1899499	
10941	J Nanobiotechnology		2005	PMC1868037	
10942	Genome Biol	Correspodence: John T Moore. E-mail: jtm36008@gsk.com.	1996	PMC55326	
10943	Arthritis Res Ther		2003	PMC2833575	
10944	Breast Cancer Res		1998	PMC1064102	
10945	Front. Hum. Neurosci.		1999	PMC3139190	Materials and MethodsParticipantsParticipants were 50 females aged 21–42, including 21 HCs and 29 fXPCs.
10946	Knee Surg Sports Traumatol Arthrosc		2001	PMC2082657	
10947	JSC		2006	PMC3135163	
10948	JBC	the	2007	PMC2844207	
10949	BMC Cell Biol		2007	PMC2907318	
10950	Mol Cancer		1996	PMC1343585	
10951	JMedLife		2005	PMC3019047	
10952	ijms	5. Center for Allergy and Asthma Research, S.U.N.Y. Downstate Medical Center, Brooklyn, New York 11203, USA	2002	PMC3065793	
10953	J. Exp. Med	From the	1996	PMC2196101	
10954	BMC Genomics		2005	PMC1634998	
10955	J Community Health		2002	PMC2778771	
10956	cea		2000	PMC2613256	
10957	Br J Cancer		2001	PMC2361354	
10958	PC		2010	PMC3167174	
10959	plosone	Florida International University, United States of America	2010	PMC3170372	
10960	plosone	Laboratory of Neurogenetics, National Institutes of Health, United States of America	1997	PMC1764644	
10961	Environ Health Perspect		2000	PMC1280352	
10962	JCRPE		1997	PMC3005747	
10963	plosone	University of South Florida College of Medicine, United States of America	2009	PMC3044726	
10964	J. Cell Biol	Diabetes Section, Laboratory of Clinical Investigation, National Institute on Aging, National Institutes of Health, Baltimore, MD 21224-6825	2000	PMC2173518	After a series of PBS washes, cells were serum starved for 3 h and were then subjected to treatments as described below.Isolation and culture of rat hepatocytesHepatocytes were isolated from 5-mo-old male Fischer 344 rats by the collagenase perfusion method of Seglen (Ikeyama et al., 2002).
10965	JSLS	Dabirashrafi Fertility and Endoscopy Research Center Tehran, Iran.	1993	PMC3015630	
10966	J. Cell Biol	 	1997	PMC2172285	
10967	Br J Cancer		2007	PMC2661785	The patients included 91 men and 23 women.
10968	BMC Immunol		2007	PMC2529265	
10969	NI		2005	PMC3093235	
10970	Mol Cancer		2003	PMC2876993	
10971	BMC Health Serv Res		2007	PMC2217545	
10972	BMC Musculoskelet Disord		1992	PMC543471	
10973	plosone	Universidade de Sao Paulo, Brazil	1957	PMC2677677	
10974	BMC Dev Biol		1999	PMC1865376	
10975	PI		2008	PMC2796037	
10976	MV		2006	PMC2266088	
10977	Front. Psychology		2009	PMC3111445	
10978	J. Cell Biol	 	2002	PMC2099195	
10979	Reprod Biol Endocrinol		1990	PMC2774313	EDA = epidural anaesthesia, SPA = spinal anaesthesia, N2O = inhalation of nitrous oxide 50%/oxygen 50%.Nulliparous women (n = 18) with spontaneous onset of labor and vaginal partus at a normal gestational length served as a reference control (C) group.
10980	Reprod Biol Endocrinol		1990	PMC2774313	Oxytocin infusion was administered to 7 of 10 women for induction of labor.It was not possible to obtain a peripheral venous sample from every subject, due to practical reasons or lack of consent.
10981	Br J Cancer		1988	PMC2816659	
10982	BMC Infect Dis		2008	PMC2931512	
10983	nar		1974	PMC2241857	
10984	Mol Neurodegener		1997	PMC2806357	
10985	Vascular Health and Risk Management		2004	PMC2515433	
10986	Br J Cancer		1999	PMC2360729	
10987	J Inflamm (Lond)		2005	PMC2873499	Materials and methodsSubjectsFasted human blood was collected from a total of 155 patients (50 ± 12 years, 69 males) with biopsy proven NAFLD and 23 healthy controls (45 ± 10 years, 8 males).
10988	J Exp Clin Cancer Res		2006	PMC2694165	
10989	EID	University of New Hampshire, Durham, New Hampshire, USA (J.W. Stull)	2008	PMC2671416	
10990	Retrovirology		2006	PMC2644664	
10991	tpmd	Department of Parasitology, Prince Leopold Institute of Tropical Medicine, Antwerp, Belgium; Epidemiological Surveillance Division, Ministry of Health, Kampala, Uganda; Department of Biomedical Sciences, Faculty of Pharmaceutical, Veterinary and Biomedical Sciences, University of Antwerp, Antwerp, Belgium	2003	PMC2844549	
10992	plosone	University of North Dakota, United States of America	1998	PMC3161076	
10993	101238455		2005	PMC3138012	
10994	BMC Cancer		2002	PMC2964636	
10995	Br J Cancer		1979	PMC2377111	
10996	plosone	Yale University, United States of America	2003	PMC2691602	
10997	BMC Cancer		2005	PMC2245965	
10998	J. Cell Biol	 	2002	PMC2172803	
10999	Nat. Chem. Biol.		1998	PMC3158273	
11000	Genome Biol		2002	PMC1929159	
11001	Br J Cancer		2007	PMC2410123	
11002	BMC Bioinformatics		1992	PMC2790471	
11003	plosone	Health Canada, Canada	2008	PMC2994899	
11004	Genome Biol		1998	PMC507884	
11005	Journal of Multidisciplinary Healthcare		2010	PMC3141838	Materials and methodsThis naturalistic study29 was conducted in 128 patients suffering from atypical deglutition (68 males and 60 females) aged 9–27 years.
11006	Br J Cancer		1999	PMC2394488	
11007	plosone	Duke University, United States of America	1967	PMC2754526	Subjects 65 and 49 were Asian males, ages 44 and 58 years respectively.
11008	Head Face Med		1996	PMC1971257	
11009	BMC Immunol		2007	PMC2885996	
11010	plosone	University of California at Los Angeles, United States of America	2004	PMC2065910	As indicator of overweight, a percentage body fat above the sex-specific normal range (male >19%, female >28%) was taken.
11011	plosone	University of Bremen, Germany	2010	PMC3001451	7 were females, 4 were men.
11012	Mol Cancer		2005	PMC2714493	
11013	KJAE	Department of Anesthesiology and Pain Medicine, College of Medicine, Seoul National University, Seoul, Korea.	2010	PMC3092962	
11014	Core Evidence	University College Hospital, London & Mount Vernon Cancer Centre, Northwood, UK	2006	PMC3012428	
11015	Br J Cancer		2007	PMC2361450	
11016	Br J Cancer		1987	PMC3171015	
11017	gbe	Université de Lyon; Université Lyon 1; Centre National de la Recherche Scientifique; Institut National de Recherche en Informatique et en Automatique; UMR5558; Laboratoire de Biométrie et Biologie évolutive; Villeurbanne, F-69622 cedex, France	2008	PMC2817401	
11018	BMC Oral Health		1986	PMC2253522	
11019	MV		2008	PMC2730749	Eleven were AA donors, 8 male, 3 female, aged 38–74 years.
11020	MV		2008	PMC2730749	Twelve were CA donors, 9 male, 3 female, ages 29–68 years of age.
11021	BMC Public Health		2003	PMC2556335	
11022	BMC Bioinformatics		2008	PMC3009500	
11023	Dyn Med		2000	PMC411054	
11024	plosone	University of Western Cape, South Africa	1986	PMC2561068	
11025	J. Exp. Med	From the	1993	PMC2196160	RA patients (6 male, 20 female) had a mean age of 52 yr (range 36–66); their mean disease duration was 6 yr (0.5–16).
11026	J. Exp. Med	From the	1993	PMC2196160	OA patients (1 male, 2 female) had a mean age of 68 (62–78); mean disease duration was 8 yr (6–12).
11027	Br J Cancer		2003	PMC2361800	
11028	J. Cell Biol	 	1986	PMC2168092	
11029	Mol Syst Biol		2008	PMC2950084	
11030	plosone	UMDNJ, United States of America	2007	PMC2836376	
11031	plosone	Dresden University of Technology, Germany	1996	PMC2713406	
11032	Clinical Ophthalmology		2000	PMC2704511	Written informed consent was taken from the families of cornea donors (14 males and 14 females; mean age 31.9 ± 8.6; age range 19–48 years).
11033	plosone	Instituto Butantan, Brazil	2007	PMC3036719	
11034	plosone	University of Swansea, United Kingdom	2010	PMC3092760	
11035	NRP		2002	PMC2788199	
11036	BMC Med Genet		1997	PMC2944124	
11037	Nutr J		2002	PMC2818614	
11038	BOE		2009	PMC3072133	
11039	plosone	Bauer Research Foundation, United States of America	2007	PMC2698213	
11040	Crit Care		2005	PMC2688136	
11041	J. Cell Biol	Dana-Farber Cancer Institute and Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, Massachusetts 02115	1995	PMC2133008	
11042	MV		2008	PMC3033435	
11043	humrep		1999	PMC2387217	
11044	J. Cell Biol	Department of Anatomy and Cell Biology, Osaka University Medical School, Suita, Osaka 565-0871, Japan	1997	PMC2132938	
11045	Oncogene		2009	PMC3020987	
11046	plosone	University of Oxford, Viet Nam	1997	PMC3080380	
11047	jcb		2002	PMC2728393	
11048	ard		1984	PMC3103667	
11049	BMC Cancer		1999	PMC2734865	
11050	J. Cell Biol	 	1996	PMC2199743	
11051	BMC Bioinformatics		2001	PMC2432075	
11052	JCN		1996	PMC2854973	
11053	Reprod Biol Endocrinol		2001	PMC1831777	Materials and methodsTissue collectionBiopsies of human myometrium were obtained from 26 women undergoing elective cesarean section in the third trimester of pregnancy, in the Department of Obstetrics and Gynecology, University College Hospital, Galway, Ireland.
11054	BMC Syst Biol		2007	PMC2873316	
11055	plosone	Université Pierre et Marie Curie, France	2008	PMC2735781	A second group of 20 (10 male) healthy volunteers were enrolled at a later date at INMI to further investigate the findings when urine is stored at −20°C.
11056	IJD		2007	PMC2868185	
11057	BMC Med Genet		1999	PMC1413517	
11058	nar		2005	PMC2447801	
11059	Neuropsychiatric Disease and Treatment		2007	PMC3173033	
11060	J. Gen. Physiol	Department of Physiology and Neurobiology, University of Connecticut, Storrs, CT 06269	2001	PMC2217458	
11061	plosone	University of Minnesota, United States of America	2006	PMC3060827	
11062	Infect Agent Cancer		1992	PMC3060847	
11063	plosmed	Baylor College of Medicine, United States of America	2006	PMC2270297	
11064	plosone	University of Hyderabad, India	2003	PMC3168506	
11065	plosone	The Rockefeller University, United States of America	1998	PMC2680020	
11066	BMC Neurosci		2001	PMC3019205	
11067	plosone	University of Dayton, United States of America	1992	PMC2430539	
11068	bioinfo		2009	PMC3051330	
11069	plosone	Saint Louis University School of Medicine, United States of America	2005	PMC2781631	
11070	Vascular Health and Risk Management		1991	PMC2515418	
11071	Biomed Eng Online		1963	PMC1173124	
11072	Nat. Cell Biol.		2006	PMC2743127	
11073	BMC Oral Health		2000	PMC1183221	
11074	Nat. Struct. Mol. Biol.		2004	PMC3168981	
11075	plosone	University of Muenster, Germany	1993	PMC3119675	
11076	humrep		2005	PMC2517153	
11077	plosone	Dana-Farber Cancer Institute, United States of America	1990	PMC2855701	
11078	BOE		2006	PMC3087595	
11079	BMC Genomics		2005	PMC2565686	
11080	plosone	University of Missouri-Kansas City, United States of America	2003	PMC2785483	
11081	BMC Plant Biol		2006	PMC2799409	
11082	JBB		2001	PMC2871552	
11083	Oncogene		2000	PMC2795793	
11084	J. Cell Biol	 	1994	PMC2139783	
11085	Clin Med Insights Arthritis Musculoskelet Disord		1997	PMC3140274	The diagnosis of RA was made according to the revised criteria of American College of Rheumatology.15 RA group consisted of 106 unrelated Saudi RA patients [male = 21, female = 85, age range 26 to 75 years (mean age 49 ± 12.5 years)].
11086	J. Exp. Med	 	2005	PMC2118571	
11087	BMC Bioinformatics		2001	PMC3009525	
11088	Breast Cancer Res		1997	PMC2716502	
11089	Environ. Health Perspect		1996	PMC2898851	Materials and MethodsStudy subjectsWe recruited 63 healthy male workers (mean age, 44 years; range, 27–55 years), in a steel production plant in Brescia, Northern Italy.
11090	Gene Ther		1993	PMC3125098	
11091	glal		2006	PMC2562023	
11092	plosone	University of Hong Kong, Hong Kong	2010	PMC3117784	
11093	Diabetes Metab Syndr Obes		2008	PMC3047984	
11094	J. Cell Biol	 	1996	PMC2172419	
11095	Cardiovasc Diabetol		2003	PMC2696421	
11096	Acta Cryst. D		2008	PMC2467532	
11097	plospath	University of Michigan, United States of America	1999	PMC2912394	
11098	BMC Musculoskelet Disord		2010	PMC3134427	
11099	BMC Med Imaging		2009	PMC3142503	
11100	BMC Evol Biol		2006	PMC2686708	
11101	Respir Res		2001	PMC1781437	
11102	Matrix Biol		2000	PMC2789966	
11103	J Neuroimmune Pharmacol		2005	PMC2719736	
11104	AIDS Res Ther		2001	PMC2920229	
11105	plosone	Deutsches Krebsforschungszentrum, Germany	2008	PMC2909904	
11106	International Journal of Nanomedicine		2001	PMC2626937	
11107	Br J Cancer		1999	PMC2361092	MATERIALS AND METHODSSubcutaneous tumours were generated by injecting human HT-29 cells in the dorsal flank of 55 female severe combined immunodeficiency (SCID) mice, and allowed to grow to a diameter of 0.5 cm (approximately 3 weeks).
11108	BMC Bioinformatics		2000	PMC1599758	
11109	J Biomed Sci		1998	PMC2854110	
11110	BMC Genomics		2003	PMC2649161	
11111	jem		2005	PMC2964583	
11112	Breast Cancer Res		1998	PMC400675	
11113	plosone	Virginia Commonwealth University, United States of America	2010	PMC3164723	
11114	Retrovirology		2008	PMC2767071	
11115	aje		2007	PMC2808497	
11116	Nature		2007	PMC2910425	
11117	plosmed	Menzies School of Health Research, Australia	2008	PMC3079643	
11118	BMC Immunol		2005	PMC2414991	
11119	J. Exp. Med	From the	1997	PMC2212476	
11120	J. Exp. Med	 	2000	PMC2213184	
11121	Environ. Health Perspect		1995	PMC1892111	The study consisted of 10 volunteers (5 females and 5 males) recruited for this study.
11122	BMC Cell Biol		2001	PMC2824740	
11123	bichaw		2009	PMC2778356	
11124	BMC Bioinformatics		2002	PMC2676259	
11125	J Inflamm Res	Department of Oral Biology, Ohio State University, Columbus, OH, USA	2006	PMC2931344	
11126	J. Exp. Med	 	1992	PMC2137904	
11127	plosone	Cleveland Clinic, United States of America	2006	PMC3021501	
11128	plosone	Institute of Microbial Technology, India	2010	PMC3142125	
11129	Patient Prefer Adherence		2000	PMC2778434	
11130	Crit Care		2000	PMC2934125	
11131	IJBI	General Electric Global Research Center, 1 Research Circle, Niskayuna, NY 12309, USA	2002	PMC3157216	
11132	BMC Endocr Disord		1997	PMC476742	Ages varied from 2 to 46 years at the time of diagnosis, with 6 males and 16 females.
11133	bmj		2007	PMC2483870	
11134	plosgen	Department of Energy Joint Genome Institute, United States of America	2001	PMC1698947	
11135	plosone	Federal University of Rio de Janeiro, Brazil	2009	PMC3012719	
11136	J Exp Clin Cancer Res		1996	PMC3146887	
11137	Behav Brain Funct		2006	PMC1864987	
11138	MI		2006	PMC2910501	PatientsForty-seven patients, 29 females, and 18 males with RA were included in the study.
11139	MI		2006	PMC2910501	The healthy group referenced comprised 48 subjects (23 men and 25 women; mean age 53 years, range 39–69 years).VEGF was analysed by a commercially available enzyme-linked immunoassay kit (Quantikine Human Immunoassays, R&D Inc, Minneapolis, USA) in lysed whole blood.
11140	MI		2006	PMC2910501	Normal serum 5-HT has a median (25th–75th percentile) of 602 (339−957) nmol/L, for males 626 (271−1819; n = 19, age = 35 (27−41) and for females 882 (437−1666) nmol/L (n = 35, age = 39 (30−51) according to our data.
11141	MI		2006	PMC2910501	The normal reference range according to the laboratory for estradiol levels in fertile women was 100–1500 pmol/L, in postmenopausal women <50 pmol/L and in men 50–150 pmol/L.
11142	jem	Center for Experimental Therapeutics and Reperfusion Injury, Department of Anesthesiology, Perioperative and Pain Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, MA 02115	2007	PMC2626672	
11143	Arthritis Res Ther		2006	PMC2688205	
11144	BMC Genomics		2002	PMC1262712	
11145	Br J Cancer		1998	PMC2377162	
11146	plosone	Institut National de la Santé et de la Recherche Médicale, France	2000	PMC3146517	
11147	Biomed Eng Online		1997	PMC3126734	
11148	Implement Sci		2005	PMC2231385	
11149	BMC Psychiatry		2008	PMC3163524	Abdominal obesity was defined as waist circumference of > 102 cm for men and > 88 cm for women [6].Participants' depressive symptoms were assessed by using the Patient Health Questionnaire-9 (PHQ-9) diagnostic algorithm, which has been described in detail elsewhere [33].
11150	Malar J		2004	PMC2999615	
11151	plosone	London School of Hygiene & Tropical Medicine, United Kingdom	2007	PMC2570335	
11152	J. Cell Biol	 	1996	PMC2148112	
11153	Nucleic Acids Research		2004	PMC1751554	
11154	BMC Urol		2007	PMC2959011	The first one included 36 patients (32 male, 4 female) with a histopathological diagnosis of BC.
11155	BMC Urol		2007	PMC2959011	The second group (controls) included 58 patients (49 male, 9 female) with a mean age ± SD of 69.9 ± 10.6 years (range 41 to 86).
11156	Scoliosis		2010	PMC2938645	
11157	plosone	University of Minnesota, United States of America	1999	PMC3136521	
11158	BMC Genomics		2000	PMC2194788	
11159	BMC Bioinformatics		2000	PMC1173084	
11160	ECAM		2001	PMC3142773	Study DesignWe conducted this experiment from the first November to the third November, 2010 in Korea Institute of Oriental Medicine (KIOM) in Daejeon, Republic of Korea.We recruited 10 male subjects and 5 male observers with no experience of anthropometric measurement.
11161	BMC Bioinformatics		1992	PMC149231	
11162	J. Cell Biol	 	1989	PMC2132511	
11163	BMC Urol		2001	PMC1131910	
11164	ijms	7. York College, Queens, New York.	2003	PMC2792735	To date her HbA1c remains below 6 on diet alone.Case 2: The second patient was a 65 year old male with a long history of non insulin dependent diabetes and hypertension.
11165	ijms	7. York College, Queens, New York.	2003	PMC2792735	His blood pressure continued within normal range with the use of the Electro Pressure Regeneration Therapy device 2-3 times weekly.Case 3: A 70 year old female was diagnosed with hypertension, epilepsy osteoarthritis and rheumatoid arthritis.
11166	ijms	7. York College, Queens, New York.	2003	PMC2792735	HbA1c was 7.8 before treatment which decreased to 6.9 and continued to be low during one year follow-up.Case 5: A 67 year old female with hypertension and osteoarthritis was treated with the Electro Pressure Regeneration Therapy device.
11167	ijms	7. York College, Queens, New York.	2003	PMC2792735	Her blood pressure was 157/91 which dropped to 149/86 after 3 weeks.Case 6: A 70 year old female with hypertension, fibromyalgia, hepatitis, hypercholesterolemia, tuberculosis and a stroke was treated with the Electro Pressure Regeneration Therapy device for her hypertension.
11168	ijms	7. York College, Queens, New York.	2003	PMC2792735	This was matched by her Blood Sugar Level (BSL) which also stabilized while she was receiving treatment over this period of time.Case 9: A 32 year old female with type 1 diabetes (IDDM) and no other concurrent health problems was treated with the Electro Pressure Regeneration Therapy device.
11169	ijms	7. York College, Queens, New York.	2003	PMC2792735	Her insulin requirement was also reduced.Case 10: A 59 year old female with type 2 diabetes (NIDDM), hypertension, fibromyalgia, chronic active hepatitis, and Bowens disease was treated with the Electro Pressure Regeneration Therapy device.
11170	ijms	7. York College, Queens, New York.	2003	PMC2792735	Her HbA1c showed a slight increase to 6.4 within three months after therapy was discontinued.Case 11: A 70 year old female with type 2 diabetes (NIDDM), osteoarthritis, chronic pain and multiple operations was treated with the Electro Pressure Regeneration Therapy device.
11171	ijms	7. York College, Queens, New York.	2003	PMC2792735	She was treated twice weekly with the EPRT device.Case 12: A 68 year old male with type 2 diabetes (NIDDM), hypertension, stroke, chronic pain and polio was treated with the Electro Pressure Regeneration Therapy device.
11172	BMC Infect. Dis		2002	PMC2927599	
